,coursecont,group,group_method,lab,group_gamification,project,lines,ncloc,comment_lines,classes,complexity,violations,blocker_violations,major_violations,minor_violations,info_violations,vulnerabilities,bugs,code_smells,duplicated_blocks,duplicated_lines,duplicated_lines_density,sqale_rating,sqale_index,sqale_debt_ratio,effort_to_reach_maintainability_rating_a,tests,test_success_density,coverage,line_coverage,branch_coverage,overall_branch_coverage,conditions_to_cover,overall_conditions_to_cover,comment_density,smells_density,code_to_test
1,1,2014-2015,core,P3,null,2014-2015-tds-e1:p3,476,408,4,3,55,55,0,37,18,0,0,0,55,0,0,0,1,371,3,0,73,100,70.6,62.9,90.6,90.6,64,64,0.00970873786407767,0.134803921568627,0.178921568627451
2,2,2014-2015,core,P3,null,2014-2015-tds-e10:p3,815,519,102,7,128,66,1,14,46,3,0,5,61,0,0,0,1,193,1.2,0,90,83.3,83.4,86.5,79.1,79.1,148,148,0.164251207729469,0.117533718689788,0.173410404624277
3,3,2014-2015,core,P3,null,2014-2015-tds-e11:p3,573,357,86,5,62,44,0,18,24,0,0,0,44,0,0,0,1,220,2.1,0,160,95,94.9,96.2,93.2,93.2,74,74,0.194130925507901,0.123249299719888,0.448179271708683
4,4,2014-2015,core,P3,null,2014-2015-tds-e12:p3,577,490,10,4,83,30,0,26,3,0,0,1,29,3,36,6.2,1,124,0.8,0,98,87.8,86,84.4,90,90,90,90,0.02,0.0591836734693878,0.2
5,5,2014-2015,core,P3,null,2014-2015-tds-e13:p3,404,341,4,4,53,28,0,5,21,0,0,0,28,0,0,0,1,152,1.5,0,105,97.1,89.1,84.3,97.1,97.1,68,68,0.0115942028985507,0.0821114369501466,0.30791788856305
6,6,2014-2015,core,P3,null,2014-2015-tds-e14:p3,583,455,28,5,69,29,0,21,5,1,0,1,28,0,0,0,1,233,1.7,0,204,100,77.7,73.9,84.4,84.4,90,90,0.0579710144927536,0.0615384615384615,0.448351648351648
7,7,2014-2015,core,P3,null,2014-2015-tds-e15:p3,642,496,24,6,105,39,0,13,20,1,0,3,36,0,0,0,1,632,4.2,0,1,100,0,0,0,0,114,114,0.0461538461538462,0.0725806451612903,0.00201612903225806
8,8,2014-2015,core,P3,null,2014-2015-tds-e2:p3,489,379,15,4,55,54,3,23,18,0,1,3,50,0,0,0,1,401,3.5,0,94,100,74.7,69.3,87.9,87.9,58,58,0.0380710659898477,0.131926121372032,0.24802110817942
9,9,2014-2015,core,P3,null,2014-2015-tds-e3:p3,446,392,7,3,80,54,0,17,36,0,0,0,54,0,0,0,1,169,1.4,0,101,96,89.7,87.9,92.2,92.2,116,116,0.0175438596491228,0.137755102040816,0.25765306122449
10,10,2014-2015,core,P3,null,2014-2015-tds-e4:p3,404,362,4,2,60,20,0,11,5,0,0,1,19,0,0,0,1,81,0.7,0,75,86.7,83.2,89.4,75,75,84,84,0.0109289617486339,0.0524861878453039,0.207182320441989
11,11,2014-2015,core,P3,null,2014-2015-tds-e5:p3,495,387,24,7,68,5,1,3,0,0,0,2,3,0,0,0,1,35,0.3,0,144,86.1,86.6,89.4,82.1,82.1,78,78,0.0583941605839416,0.00775193798449612,0.372093023255814
12,12,2014-2015,core,P3,null,2014-2015-tds-e6:p3,497,396,6,6,92,71,3,8,52,0,1,3,67,0,0,0,1,242,2,0,414,100,98.5,98.5,98.4,98.4,124,124,0.0149253731343284,0.169191919191919,1.04545454545455
13,13,2014-2015,core,P3,null,2014-2015-tds-e7:p3,592,351,94,6,65,40,0,10,23,0,0,0,40,0,0,0,1,114,1.1,0,62,100,97.5,99.2,94.4,94.4,72,72,0.21123595505618,0.113960113960114,0.176638176638177
14,14,2014-2015,core,P3,null,2014-2015-tds-e8:p3,497,345,66,4,49,20,0,12,1,0,0,0,20,0,0,0,1,200,1.9,0,86,100,82.9,78.6,95,95,40,40,0.160583941605839,0.0579710144927536,0.249275362318841
15,15,2014-2015,core,P3,null,2014-2015-tds-e9:p3,625,354,141,2,66,32,0,7,23,0,0,0,32,0,0,0,1,199,1.9,0,95,100,91.8,93.5,89.5,89.5,86,86,0.284848484848485,0.0903954802259887,0.268361581920904
16,16,2015-2016,core,P3,null,2015-2016-tds-e10:p3,487,293,100,3,46,35,0,16,13,0,2,0,33,0,0,0,1,252,2.9,0,92,100,97.4,100,92.5,92.5,40,40,0.254452926208651,0.112627986348123,0.313993174061433
17,17,2015-2016,core,P3,null,2015-2016-tds-e11:p3,576,374,98,3,105,60,2,17,30,0,0,2,58,0,0,0,1,375,3.3,0,182,100,100,100,100,100,164,164,0.207627118644068,0.155080213903743,0.486631016042781
18,18,2015-2016,core,P3,null,2015-2016-tds-e12:p3,548,369,68,6,85,60,0,15,30,0,0,0,60,0,0,0,1,334,3,0,96,100,92.8,97.3,88.9,88.9,126,126,0.155606407322654,0.16260162601626,0.260162601626016
19,19,2015-2016,core,P3,null,2015-2016-tds-e13:p3,600,343,120,3,70,44,0,16,18,0,0,0,44,0,0,0,1,315,3.1,0,183,100,100,100,100,100,90,90,0.259179265658747,0.128279883381924,0.533527696793003
20,20,2015-2016,core,P3,null,2015-2016-tds-e2:p3,593,458,47,3,87,23,0,15,5,0,0,0,23,0,0,0,1,158,1.1,0,371,100,100,100,100,100,126,126,0.0930693069306931,0.0502183406113537,0.810043668122271
21,21,2015-2016,core,P3,null,2015-2016-tds-e4:p3,987,477,311,3,125,33,0,18,8,0,0,1,32,0,0,0,2,828,5.8,113,188,14.9,10.7,11.2,10,10,190,190,0.394670050761421,0.0670859538784067,0.394129979035639
22,22,2015-2016,core,P3,null,2015-2016-tds-e5:p3,521,304,89,3,71,61,3,7,50,0,0,3,58,0,0,0,1,174,1.9,0,48,100,100,100,100,100,96,96,0.2264631043257,0.190789473684211,0.157894736842105
23,23,2015-2016,core,P3,null,2015-2016-tds-e6:p3,549,375,82,4,74,31,3,10,7,0,0,3,28,0,0,0,1,248,2.2,0,143,100,99.1,100,97.9,97.9,96,96,0.179431072210066,0.0746666666666667,0.381333333333333
24,24,2015-2016,core,P3,null,2015-2016-tds-e7:p3,604,392,95,3,85,19,2,6,5,0,0,2,17,0,0,0,1,131,1.1,0,172,100,95,98.6,90.2,90.2,102,102,0.195071868583162,0.0433673469387755,0.438775510204082
25,25,2015-2016,core,P3,null,2015-2016-tds-e8:p3,353,295,4,3,46,20,0,13,3,0,0,0,20,0,0,0,1,154,1.7,0,58,100,97.8,100,94.2,94.2,52,52,0.0133779264214047,0.0677966101694915,0.196610169491525
26,26,2015-2016,core,P3,null,2015-2016-tds-e9:p3,906,514,235,3,112,24,0,9,4,1,0,0,24,0,0,0,1,228,1.5,0,286,100,86.6,86.7,86.5,86.5,170,170,0.313751668891856,0.0466926070038911,0.556420233463035
27,27,2016-2017,core,P3,null,2016-2017-tds-e1:p3,802,464,166,5,98,47,0,32,14,0,0,10,37,0,0,0,1,223,1.6,0,114,100,89.1,91.4,86.4,86.4,154,154,0.263492063492063,0.0797413793103448,0.245689655172414
28,28,2016-2017,core,P3,null,2016-2017-tds-e10:p3,803,443,124,4,115,49,4,14,26,0,0,5,44,0,0,0,1,261,2,0,274,100,98.6,100,97,97,164,164,0.218694885361552,0.0993227990970655,0.618510158013544
29,29,2016-2017,core,P3,null,2016-2017-tds-e11:p3,828,476,162,5,91,12,1,5,6,0,0,1,11,0,0,0,1,78,0.5,0,108,100,91.8,95.9,86.4,86.4,132,132,0.253918495297806,0.023109243697479,0.226890756302521
30,30,2016-2017,core,P3,null,2016-2017-tds-e12:p3,585,405,82,3,75,34,0,24,10,0,0,0,34,0,0,0,1,180,1.5,0,94,100,93.6,96.8,88.5,88.5,96,96,0.168377823408624,0.0839506172839506,0.232098765432099
31,31,2016-2017,core,P3,null,2016-2017-tds-e2:p3,584,360,122,3,92,50,0,10,40,0,0,0,50,0,0,0,1,178,1.6,0,139,100,96.7,100,93.4,93.4,136,136,0.253112033195021,0.138888888888889,0.386111111111111
32,32,2016-2017,core,P3,null,2016-2017-tds-e3:p3,515,335,79,3,58,60,0,21,22,15,2,0,58,0,0,0,1,189,1.9,0,82,96.3,98.9,100,97.3,97.3,74,74,0.190821256038647,0.173134328358209,0.244776119402985
33,33,2016-2017,core,P3,null,2016-2017-tds-e4:p3,394,331,7,3,57,27,0,17,9,0,0,1,26,0,0,0,1,145,1.5,0,81,22.2,87.2,92.3,79.4,79.4,68,68,0.0207100591715976,0.0785498489425982,0.244712990936556
34,34,2016-2017,core,P3,null,2016-2017-tds-e5:p3,641,427,115,3,102,29,0,20,9,0,0,0,29,0,0,0,1,160,1.2,0,300,100,99.4,99.4,99.4,99.4,156,156,0.212177121771218,0.0679156908665105,0.702576112412178
35,35,2016-2017,core,P3,null,2016-2017-tds-e6:p3,586,359,99,3,93,37,1,13,23,0,0,1,36,0,0,0,1,174,1.6,0,116,100,95.5,98.5,92.3,92.3,130,130,0.216157205240175,0.100278551532033,0.323119777158774
36,36,2016-2017,core,P3,null,2016-2017-tds-e7:p3,687,378,161,3,86,30,0,18,11,0,0,0,30,0,0,0,1,144,1.3,0,96,100,100,100,100,100,118,118,0.298701298701299,0.0793650793650794,0.253968253968254
37,37,2016-2017,core,P3,null,2016-2017-tds-e8:p3,671,353,123,3,72,35,1,21,12,0,0,1,34,0,0,0,1,174,1.6,0,68,100,87.3,95.8,76.6,76.6,94,94,0.258403361344538,0.0963172804532578,0.192634560906516
38,38,2016-2017,core,P3,null,2016-2017-tds-e9:p3,763,415,196,5,108,18,0,8,9,0,0,0,18,0,0,0,1,70,0.6,0,570,100,98.7,100,97.4,97.4,152,152,0.320785597381342,0.0433734939759036,1.37349397590361
39,39,2017-2018,sonarQube,P3,null,2017-2018-tds-e1:p3,876,559,174,4,172,103,0,10,82,0,0,0,103,5,19,2.2,1,383,2.3,0,589,100,100,100,100,100,256,256,0.237380627557981,0.184257602862254,1.05366726296959
40,40,2017-2018,sonarQube,P3,null,2017-2018-tds-e10:p3,876,559,174,4,172,103,0,10,82,0,0,0,103,5,19,2.2,1,383,2.3,0,589,100,100,100,100,100,256,256,0.237380627557981,0.184257602862254,1.05366726296959
41,41,2017-2018,sonarQube,P3,null,2017-2018-tds-e11:p3,559,356,78,9,64,4,0,0,0,0,0,0,4,0,0,0,1,60,0.6,0,130,100,93.5,90.1,100,100,64,64,0.179723502304147,0.0112359550561798,0.365168539325843
42,42,2017-2018,sonarQube,P3,null,2017-2018-tds-e2:p3,827,457,164,5,116,41,0,4,29,0,0,0,41,0,0,0,1,190,1.4,0,438,100,97.4,96.7,98.1,98.1,162,162,0.264090177133655,0.0897155361050328,0.958424507658643
43,43,2017-2018,sonarQube,P3,null,2017-2018-tds-e3:p3,937,596,128,4,124,73,0,20,28,0,0,16,57,0,0,0,1,321,1.8,0,233,100,88.2,94.3,79.4,79.4,204,204,0.176795580110497,0.0956375838926175,0.390939597315436
44,44,2017-2018,sonarQube,P3,null,2017-2018-tds-e4:p3,892,546,174,4,114,2,0,0,0,0,0,0,2,0,0,0,1,30,0.2,0,651,100,88.4,99.6,80.4,80.4,352,352,0.241666666666667,0.00366300366300366,1.19230769230769
45,45,2017-2018,sonarQube,P3,null,2017-2018-tds-e5:p3,818,456,192,4,107,2,0,0,0,0,0,0,2,0,0,0,1,30,0.2,0,190,100,97.5,98.6,96.1,96.1,152,152,0.296296296296296,0.0043859649122807,0.416666666666667
46,46,2017-2018,sonarQube,P3,null,2017-2018-tds-e7:p3,850,533,180,3,119,19,0,7,7,0,0,2,17,0,0,0,1,138,0.9,0,251,100,100,100,100,100,176,176,0.252454417952314,0.0318949343339587,0.470919324577861
47,47,2017-2018,sonarQube,P3,null,2017-2018-tds-e8:p3,565,312,125,3,48,18,0,12,2,0,0,0,18,0,0,0,1,131,1.4,0,148,100,91.5,95.6,84,84,50,50,0.28604118993135,0.0576923076923077,0.474358974358974
48,48,2017-2018,sonarQube,P3,null,2017-2018-tds-e9:p3,757,485,138,3,109,1,0,0,0,0,0,0,1,0,0,0,1,5,0,0,174,100,94.1,95.1,92.8,92.8,166,166,0.221508828250401,0.00206185567010309,0.358762886597938
49,1,2018-2019,gamification,P3,ranking,2018-2019-tds-e1:p3,578,358,108,2,72,1,0,0,0,0,0,0,1,0,0,0,1,15,0.1,0,82,100,100,100,100,100,94,94,0.231759656652361,0.00279329608938547,0.229050279329609
50,2,2018-2019,gamification,P3,ranking,2018-2019-tds-e10:p3,503,347,82,2,60,2,0,1,0,0,0,0,2,0,0,0,1,20,0.2,0,62,100,93.3,93.2,93.6,93.6,78,78,0.191142191142191,0.00576368876080692,0.178674351585014
51,3,2018-2019,gamification,P3,ranking,2018-2019-tds-e11:p3,592,384,57,8,65,26,0,10,16,0,0,5,21,0,0,0,1,147,1.3,0,114,39.5,38.2,42.2,29.6,29.6,54,54,0.129251700680272,0.0546875,0.296875
52,4,2018-2019,gamification,P3,ranking,2018-2019-tds-e12:p3,569,410,72,4,76,2,0,2,0,0,0,0,2,0,0,0,1,40,0.3,0,63,100,100,100,100,100,110,110,0.149377593360996,0.0048780487804878,0.153658536585366
53,5,2018-2019,gamification,P3,ranking,2018-2019-tds-e2:p3,591,342,126,2,79,51,0,5,44,2,0,0,51,0,0,0,1,124,1.2,0,152,100,100,100,100,100,118,118,0.269230769230769,0.149122807017544,0.444444444444444
54,6,2018-2019,gamification,P3,ranking,2018-2019-tds-e3:p3,852,411,239,2,87,4,0,1,3,0,0,0,4,0,0,0,1,19,0.2,0,259,100,98.6,98.8,98.2,98.2,110,110,0.367692307692308,0.0097323600973236,0.630170316301703
55,7,2018-2019,gamification,P3,ranking,2018-2019-tds-e4:p3,654,400,119,2,79,12,0,9,0,0,0,0,12,0,0,0,1,108,0.9,0,66,100,89.1,92.2,84.9,84.9,106,106,0.229287090558767,0.03,165
56,8,2018-2019,gamification,P3,ranking,2018-2019-tds-e5:p3,597,395,127,2,69,22,1,3,14,0,0,2,20,0,0,0,1,142,1.2,0,40,100,87.2,91,81.1,81.1,90,90,0.243295019157088,0.0506329113924051,0.10126582278481
57,9,2018-2019,gamification,P3,ranking,2018-2019-tds-e6:p3,804,458,206,3,97,33,0,10,16,0,0,0,33,2,26,3.2,1,304,2.2,0,101,100,98.3,97.2,100,100,142,142,0.310240963855422,0.0720524017467249,0.220524017467249
58,10,2018-2019,gamification,P3,ranking,2018-2019-tds-e7:p3,764,433,160,2,111,26,1,4,19,0,0,1,25,2,22,2.9,1,113,0.9,0,262,100,96.6,97.4,95.5,95.5,154,154,0.269814502529511,0.0577367205542725,0.605080831408776
59,11,2018-2019,gamification,P3,ranking,2018-2019-tds-e8:p3,566,404,78,2,74,7,0,4,0,0,0,0,7,0,0,0,1,85,0.7,0,53,100,98,96.8,100,100,98,98,0.161825726141079,0.0173267326732673,0.131188118811881
60,12,2018-2019,gamification,P3,ranking,2018-2019-tds-e9:p3,874,509,190,11,94,23,0,5,13,0,0,0,23,0,0,0,1,155,1,0,83,100,100,100,100,100,132,132,0.271816881258941,0.0451866404715128,0.163064833005894
61,13,2019-2020,gamification,P3,live ranking,2019-2020-tds-e10:p3,710,509,102,2,139,31,0,25,4,1,0,1,30,2,40,5.6,1,243,1.6,0,250,100,97.7,100,95.5,95.5,220,220,0.166939443535188,0.0589390962671906,0.491159135559921
62,14,2019-2020,gamification,P3,live ranking,2019-2020-tds-e11:p3,551,245,148,3,76,45,0,9,36,0,0,0,45,0,0,0,1,123,1.7,0,110,100,99.5,100,99,99,98,98,0.376590330788804,0.183673469387755,0.448979591836735
63,15,2019-2020,gamification,P3,live ranking,2019-2020-tds-e12:p3,697,403,158,3,105,12,4,2,6,0,0,4,8,0,0,0,1,46,0.4,0,92,100,100,100,100,100,154,154,0.281639928698752,0.0198511166253102,0.228287841191067
64,16,2019-2020,gamification,P3,live ranking,2019-2020-tds-e13:p3,766,425,185,3,119,24,0,11,12,0,0,0,24,2,29,3.8,1,202,1.6,0,176,100,100,100,100,100,186,186,0.30327868852459,0.0564705882352941,0.414117647058824
65,17,2019-2020,gamification,P3,live ranking,2019-2020-tds-e14:p3,687,365,177,3,106,4,0,4,0,0,0,0,4,0,0,0,1,29,0.3,0,196,100,100,100,100,100,154,154,0.326568265682657,0.010958904109589,0.536986301369863
66,18,2019-2020,gamification,P3,live ranking,2019-2020-tds-e15:p3,713,409,141,4,93,62,0,26,35,0,0,0,62,0,0,0,1,226,1.8,0,420,100,100,100,100,100,124,124,0.256363636363636,0.15158924205379,1.02689486552567
67,19,2019-2020,gamification,P3,live ranking,2019-2020-tds-e16:p3,604,356,103,4,100,14,0,6,7,1,0,0,14,0,0,0,1,88,0.8,0,85,100,98.5,100,96.7,96.7,150,150,0.224400871459695,0.0393258426966292,0.23876404494382
68,20,2019-2020,gamification,P3,live ranking,2019-2020-tds-e17:p3,627,333,157,3,81,21,0,13,8,0,0,0,21,0,0,0,1,120,1.2,0,129,100,98,100,95.3,95.3,106,106,0.320408163265306,0.0630630630630631,0.387387387387387
69,21,2019-2020,gamification,P3,live ranking,2019-2020-tds-e18:p3,795,466,122,4,111,25,1,12,12,0,0,1,24,0,0,0,1,339,2.4,0,191,100,98.5,99.2,97.5,97.5,161,161,0.207482993197279,0.0515021459227468,0.409871244635193
70,22,2019-2020,gamification,P3,live ranking,2019-2020-tds-e19:p3,608,329,142,3,111,58,0,11,47,0,0,0,58,0,0,0,1,154,1.6,0,191,100,100,100,100,100,150,150,0.301486199575372,0.17629179331307,0.580547112462006
71,23,2019-2020,gamification,P3,live ranking,2019-2020-tds-e2:p3,939,424,284,4,115,16,1,8,5,0,0,2,14,0,0,0,1,68,0.5,0,155,100,100,100,100,100,170,170,0.401129943502825,0.0330188679245283,0.365566037735849
72,24,2019-2020,gamification,P3,live ranking,2019-2020-tds-e20:p3,549,312,95,3,86,50,0,23,26,0,0,0,50,0,0,0,1,164,1.8,0,97,100,100,100,100,100,112,112,0.233415233415233,0.16025641025641,0.310897435897436
73,25,2019-2020,gamification,P3,live ranking,2019-2020-tds-e21:p3,817,489,128,3,129,49,0,17,28,0,0,2,47,0,0,0,1,242,1.6,0,82,100,98,100,95.4,95.4,196,196,0.207455429497569,0.0961145194274029,0.167689161554192
74,26,2019-2020,gamification,P3,live ranking,2019-2020-tds-e22:p3,770,393,208,4,91,7,2,4,0,0,0,2,5,0,0,0,1,55,0.5,0,133,100,100,100,100,100,138,138,0.346089850249584,0.0127226463104326,0.338422391857506
75,27,2019-2020,gamification,P3,live ranking,2019-2020-tds-e3:p3,736,422,151,3,117,1,0,1,0,0,0,0,1,0,0,0,1,6,0,0,121,100,100,100,100,100,176,176,0.263525305410122,0.0023696682464455,0.286729857819905
76,28,2019-2020,gamification,P3,live ranking,2019-2020-tds-e4:p3,617,365,121,3,97,10,2,3,5,0,0,2,8,0,0,0,1,62,0.6,0,148,100,99.7,100,99.3,99.3,144,144,0.248971193415638,0.0219178082191781,0.405479452054795
77,29,2019-2020,gamification,P3,live ranking,2019-2020-tds-e5:p3,654,439,83,3,125,25,0,21,4,0,0,0,25,0,0,0,1,146,1.1,0,83,100,100,100,100,100,188,188,0.159003831417625,0.0569476082004556,0.189066059225513
78,30,2019-2020,gamification,P3,live ranking,2019-2020-tds-e6:p3,827,544,148,3,116,32,0,22,8,0,0,1,31,0,0,0,1,119,0.7,0,172,100,99.3,100,98.3,98.3,172,172,0.213872832369942,0.0569852941176471,0.316176470588235
79,31,2019-2020,gamification,P3,live ranking,2019-2020-tds-e8:p3,854,446,183,4,114,31,0,15,15,0,0,0,31,0,0,0,1,94,0.7,0,251,100,100,100,100,100,156,156,0.29093799682035,0.0695067264573991,0.562780269058296
80,32,2019-2020,gamification,P3,live ranking,2019-2020-tds-e9:p3,681,355,172,4,89,3,0,2,0,0,0,0,3,0,0,0,1,36,0.3,0,102,100,100,100,100,100,130,130,0.326375711574953,0.00845070422535211,0.287323943661972
81,1,2014-2015,core,P4,null,2014-2015-tds-a1:p4,724,475,84,6,112,61,2,9,46,0,0,7,54,0,0,0,1,161,1.1,0,69,100,83.1,91.4,69.8,69.8,116,116,0.150268336314848,0.113684210526316,0.145263157894737
82,2,2014-2015,core,P4,null,2014-2015-tds-a10:p4,712,533,49,3,134,53,3,13,31,2,0,7,46,0,0,0,1,119,0.7,0,349,100,96.7,99.1,93,93,158,158,0.084192439862543,0.0863039399624766,0.654784240150094
83,3,2014-2015,core,P4,null,2014-2015-tds-a11:p4,536,469,4,2,89,29,0,20,9,0,0,0,29,0,0,0,1,136,1,0,96,97.9,91.4,94.8,85.7,85.7,112,112,0.00845665961945032,0.0618336886993603,0.204690831556503
84,4,2014-2015,core,P4,null,2014-2015-tds-a12:p4,1006,640,132,5,173,144,1,30,98,0,14,2,128,5,46,4.6,1,488,2.5,0,112,100,89.6,89,90.2,90.2,256,256,0.170984455958549,0.2,175
85,5,2014-2015,core,P4,null,2014-2015-tds-a13:p4,825,539,117,3,127,103,0,42,37,0,0,1,102,0,0,0,2,1094,6.8,286,88,100,87.7,84.4,94.2,94.2,120,120,0.178353658536585,0.189239332096475,0.163265306122449
86,6,2014-2015,core,P4,null,2014-2015-tds-a14:p4,807,535,137,3,82,34,0,24,4,0,0,0,34,0,0,0,1,270,1.7,0,83,100,88.9,86.4,94.8,94.8,96,96,0.203869047619048,0.0635514018691589,0.155140186915888
87,7,2014-2015,core,P4,null,2014-2015-tds-a15:p4,1113,563,303,3,125,75,0,39,33,2,0,0,75,0,0,0,1,532,3.1,0,164,100,98.4,100,96.2,96.2,158,158,0.349884526558891,0.133214920071048,0.291296625222025
88,8,2014-2015,core,P4,null,2014-2015-tds-a16:p4,838,473,123,5,105,68,0,17,46,0,0,3,65,0,0,0,1,234,1.6,0,89,100,96.4,98.4,92.9,92.9,98,98,0.206375838926175,0.137420718816068,0.18816067653277
89,9,2014-2015,core,P4,null,2014-2015-tds-a17:p4,614,509,4,4,80,41,0,39,0,0,0,0,41,0,0,0,1,265,1.7,0,75,100,83.4,81.4,88.1,88.1,84,84,0.00779727095516569,0.0805500982318271,0.147347740667976
90,10,2014-2015,core,P4,null,2014-2015-tds-a18:p4,539,477,11,2,94,39,0,24,12,0,0,3,36,0,0,0,1,149,1,0,92,97.8,92.4,97.3,84.7,84.7,118,118,0.0225409836065574,0.0754716981132075,0.192872117400419
91,11,2014-2015,core,P4,null,2014-2015-tds-a19:p4,561,491,7,3,88,59,0,25,33,0,0,1,58,0,0,0,1,251,1.7,0,124,95.2,89.2,92,84.7,84.7,118,118,0.0140562248995984,0.118126272912424,0.252545824847251
92,12,2014-2015,core,P4,null,2014-2015-tds-a2:p4,634,530,22,3,90,82,0,31,50,0,0,1,81,0,0,0,1,349,2.2,0,199,91,69.2,67.4,73,73,100,100,0.0398550724637681,0.152830188679245,0.375471698113208
93,13,2014-2015,core,P4,null,2014-2015-tds-a20:p4,1166,703,195,3,108,66,0,45,16,0,0,0,66,0,0,0,1,422,2,0,208,92.3,91.4,94.2,85.2,85.2,142,142,0.217149220489978,0.0938833570412518,0.295874822190612
94,14,2014-2015,core,P4,null,2014-2015-tds-a21:p4,868,579,114,3,98,63,0,50,11,1,0,1,62,0,0,0,1,400,2.3,0,126,96.8,79.7,74.9,89.8,89.8,128,128,0.164502164502165,0.107081174438687,0.217616580310881
95,15,2014-2015,core,P4,null,2014-2015-tds-a22:p4,483,387,4,3,76,35,0,21,14,0,0,0,35,0,0,0,1,222,1.9,0,93,100,80,79.5,80.6,80.6,98,98,0.010230179028133,0.0904392764857881,0.24031007751938
96,16,2014-2015,core,P4,null,2014-2015-tds-a23:p4,699,592,13,5,126,21,0,11,9,0,0,1,20,0,0,0,1,47,0.3,0,248,99.2,92.1,90,95.2,95.2,168,168,0.0214876033057851,0.0337837837837838,0.418918918918919
97,17,2014-2015,core,P4,null,2014-2015-tds-a24:p4,613,520,4,3,102,102,0,38,64,0,0,0,102,0,0,0,1,396,2.5,0,138,100,93.2,93.4,92.8,92.8,153,153,0.00763358778625954,0.196153846153846,0.265384615384615
98,18,2014-2015,core,P4,null,2014-2015-tds-a3:p4,568,471,4,5,83,90,0,21,36,0,0,1,89,0,0,0,2,881,6.2,175,166,100,97.5,98.9,95,95,100,100,0.00842105263157895,0.18895966029724,0.35244161358811
99,19,2014-2015,core,P4,null,2014-2015-tds-a4:p4,581,495,16,3,75,45,0,29,15,0,0,1,44,0,0,0,1,248,1.7,0,16,100,65.1,66.4,61.9,61.9,84,84,0.0313111545988258,0.0888888888888889,0.0323232323232323
100,20,2014-2015,core,P4,null,2014-2015-tds-a6:p4,915,606,123,6,141,58,3,24,28,2,0,4,54,0,0,0,1,224,1.2,0,270,100,91.4,87.5,97.8,97.8,184,184,0.168724279835391,0.0891089108910891,0.445544554455446
101,21,2014-2015,core,P4,null,2014-2015-tds-a8:p4,1045,544,188,9,106,76,0,25,45,6,0,0,76,0,0,0,1,364,2.2,0,222,100,46.8,47.8,45.4,45.4,130,130,0.256830601092896,0.139705882352941,0.408088235294118
102,22,2014-2015,core,P4,null,2014-2015-tds-a9:p4,746,592,19,10,100,34,0,23,11,0,0,0,34,0,0,0,1,289,1.6,0,100,92,75.9,72.6,85.2,85.2,88,88,0.0310965630114566,0.0574324324324324,0.168918918918919
