,coursecont,group,group_method,lab,group_gamification,project,lines,ncloc,comment_lines,classes,complexity,violations,blocker_violations,major_violations,minor_violations,info_violations,vulnerabilities,bugs,code_smells,duplicated_blocks,duplicated_lines,duplicated_lines_density,sqale_rating,sqale_index,sqale_debt_ratio,effort_to_reach_maintainability_rating_a,tests,test_success_density,coverage,line_coverage,branch_coverage,overall_branch_coverage,conditions_to_cover,overall_conditions_to_cover,comment_density,smells_density,code_to_test
103,23,2015-2016,core,P4,null,2015-2016-tds-a1:p4,506,293,97,2,56,73,0,12,47,0,0,0,73,0,0,0,2,448,5.1,9,142,100,100,100,100,100,70,70,0.248717948717949,0.249146757679181,0.484641638225256
104,24,2015-2016,core,P4,null,2015-2016-tds-a10:p4,577,398,91,5,61,17,0,11,5,0,0,0,17,0,0,0,1,83,0.7,0,66,100,99.1,100,97.6,97.6,84,84,0.186094069529652,0.042713567839196,0.165829145728643
105,25,2015-2016,core,P4,null,2015-2016-tds-a11:p4,427,284,61,3,49,25,0,5,12,0,1,0,24,0,0,0,1,194,2.3,0,177,100,96.4,98.8,92.9,92.9,56,56,0.176811594202899,0.0845070422535211,0.623239436619718
106,26,2015-2016,core,P4,null,2015-2016-tds-a12:p4,972,607,204,5,142,38,0,13,8,1,0,4,34,2,58,6,1,327,1.8,0,140,100,80.2,82.9,76.6,76.6,218,218,0.25154130702836,0.0560131795716639,0.230642504118616
107,27,2015-2016,core,P4,null,2015-2016-tds-a13:p4,330,264,4,2,39,18,0,11,4,0,0,0,18,0,0,0,1,192,2.4,0,34,64.7,53.8,64.5,38.1,38.1,42,42,0.0149253731343284,0.0681818181818182,0.128787878787879
108,28,2015-2016,core,P4,null,2015-2016-tds-a14:p4,493,294,87,2,49,19,0,14,0,0,0,0,19,0,0,0,1,198,2.2,0,77,100,93.5,97.6,85.7,85.7,42,42,0.228346456692913,0.0646258503401361,0.261904761904762
109,29,2015-2016,core,P4,null,2015-2016-tds-a15:p4,464,304,58,2,64,60,1,19,31,0,2,1,57,0,0,0,1,331,3.6,0,116,89.7,98.9,100,97.6,97.6,82,82,0.160220994475138,0.1875,0.381578947368421
110,30,2015-2016,core,P4,null,2015-2016-tds-a16:p4,419,306,42,3,45,44,8,12,6,0,0,16,28,0,0,0,1,265,2.9,0,91,97.8,82.1,85.6,76,76,50,50,0.120689655172414,0.0915032679738562,0.297385620915033
111,31,2015-2016,core,P4,null,2015-2016-tds-a17:p4,464,401,13,2,66,34,0,12,15,0,0,0,34,0,0,0,1,224,1.9,0,236,100,100,100,100,100,80,80,0.0314009661835749,0.084788029925187,0.588528678304239
112,32,2015-2016,core,P4,null,2015-2016-tds-a18:p4,723,453,128,2,90,36,0,14,8,0,0,0,36,0,0,0,1,306,2.3,0,158,100,75.6,79.3,70.6,70.6,136,136,0.220309810671256,0.0794701986754967,0.34878587196468
113,33,2015-2016,core,P4,null,2015-2016-tds-a19:p4,553,360,78,2,86,71,0,21,37,0,0,0,71,0,0,0,1,429,4,0,81,100,91,94.2,86.8,86.8,106,106,0.178082191780822,0.197222222222222,225
114,34,2015-2016,core,P4,null,2015-2016-tds-a2:p4,470,295,77,2,61,54,1,14,31,0,0,1,53,0,0,0,1,276,3.1,0,72,100,98.3,100,96.2,96.2,78,78,0.206989247311828,0.179661016949153,0.24406779661017
115,35,2015-2016,core,P4,null,2015-2016-tds-a20:p4,514,299,83,2,62,54,0,15,31,0,0,0,54,0,0,0,1,271,3,0,325,76.3,98,100,95.5,95.5,66,66,0.217277486910995,0.180602006688963,1.08695652173913
116,36,2015-2016,core,P4,null,2015-2016-tds-a3:p4,477,323,70,2,55,24,0,10,4,0,0,0,24,0,0,0,1,200,2.1,0,132,99.2,96.3,98,93.5,93.5,62,62,0.178117048346056,0.0743034055727554,0.408668730650155
117,37,2015-2016,core,P4,null,2015-2016-tds-a4:p4,580,361,96,13,56,63,0,11,20,18,0,0,63,0,0,0,1,317,2.9,0,93,100,88,83.3,100,100,42,42,0.210065645514223,0.174515235457064,0.257617728531856
118,38,2015-2016,core,P4,null,2015-2016-tds-a5:p4,545,330,90,2,64,38,1,17,7,0,0,6,32,0,0,0,1,346,3.5,0,65,80,37.5,42.2,29.3,29.3,58,58,0.214285714285714,0.096969696969697,0.196969696969697
119,39,2015-2016,core,P4,null,2015-2016-tds-a6:p4,414,273,66,2,51,52,0,8,32,0,0,0,52,0,0,0,1,270,3.3,0,142,100,100,100,100,100,66,66,0.194690265486726,0.19047619047619,0.52014652014652
120,40,2015-2016,core,P4,null,2015-2016-tds-a7:p4,390,355,6,2,61,21,0,10,9,0,0,0,21,0,0,0,1,136,1.3,0,174,100,92.7,95.2,88.8,88.8,80,80,0.0166204986149584,0.0591549295774648,0.490140845070423
121,41,2015-2016,core,P4,null,2015-2016-tds-a8:p4,672,421,102,4,97,81,0,19,54,0,0,0,81,0,0,0,1,360,2.9,0,137,100,97.9,100,95.4,95.4,130,130,0.195028680688337,0.192399049881235,0.32541567695962
122,42,2015-2016,core,P4,null,2015-2016-tds-a9:p4,463,283,70,2,51,57,2,8,41,0,0,2,55,0,0,0,1,203,2.4,0,69,100,99.3,100,98.4,98.4,62,62,0.198300283286119,0.19434628975265,0.243816254416961
123,43,2016-2017,core,P4,null,2016-2017-tds-a1:p4,535,295,138,2,44,33,0,17,6,9,0,1,32,0,0,0,1,245,2.8,0,88,100,94,90.8,100,100,40,40,0.318706697459584,0.108474576271186,0.298305084745763
124,44,2016-2017,core,P4,null,2016-2017-tds-a11:p4,642,324,162,4,48,27,0,13,0,13,0,1,26,0,0,0,1,181,1.9,0,48,95.8,86.1,83.5,91.7,91.7,36,36,0.333333333333333,0.0802469135802469,0.148148148148148
125,45,2016-2017,core,P4,null,2016-2017-tds-a12:p4,509,311,92,2,49,24,0,19,1,0,0,1,23,0,0,0,1,284,3,0,46,73.9,82.9,83.5,81.6,81.6,38,38,0.228287841191067,0.0739549839228296,0.147909967845659
126,46,2016-2017,core,P4,null,2016-2017-tds-a13:p4,651,332,162,2,55,43,0,22,6,13,0,2,41,0,0,0,1,300,3,0,48,100,86.4,87.6,84.5,84.5,58,58,0.327935222672065,0.123493975903614,0.144578313253012
127,47,2016-2017,core,P4,null,2016-2017-tds-a14:p4,609,304,169,2,55,31,0,17,0,13,0,1,30,0,0,0,1,212,2.3,0,62,83.9,91.6,89,96.2,96.2,52,52,0.357293868921776,0.0986842105263158,0.203947368421053
128,48,2016-2017,core,P4,null,2016-2017-tds-a16:p4,567,282,127,2,44,34,0,15,3,14,0,1,33,0,0,0,1,219,2.6,0,56,100,85.6,79.4,97.2,97.2,36,36,0.310513447432763,0.117021276595745,0.198581560283688
129,49,2016-2017,core,P4,null,2016-2017-tds-a17:p4,637,363,136,2,74,52,1,19,12,14,0,5,47,0,0,0,1,299,2.7,0,78,100,88.9,89.1,88.8,88.8,80,80,0.272545090180361,0.129476584022039,0.214876033057851
130,50,2016-2017,core,P4,null,2016-2017-tds-a18:p4,792,355,203,4,51,19,0,18,0,0,0,0,19,0,0,0,1,288,2.7,0,38,100,69.7,73.4,62.5,62.5,56,56,0.363799283154122,0.0535211267605634,0.107042253521127
131,51,2016-2017,core,P4,null,2016-2017-tds-a19:p4,594,312,153,2,46,41,0,23,4,13,0,1,40,2,42,7.1,1,328,3.5,0,36,100,88.5,86.3,92.9,92.9,42,42,0.329032258064516,0.128205128205128,0.115384615384615
132,52,2016-2017,core,P4,null,2016-2017-tds-a2:p4,601,298,187,3,43,45,0,13,18,13,0,0,45,0,0,0,1,280,3.1,0,43,100,86.7,78.5,100,100,40,40,0.385567010309278,0.151006711409396,0.144295302013423
133,53,2016-2017,core,P4,null,2016-2017-tds-a20:p4,725,381,202,2,67,46,0,28,2,13,0,1,45,6,94,13,1,410,3.6,0,46,73.9,76.9,79.5,72.4,72.4,76,76,0.346483704974271,0.118110236220472,0.120734908136483
134,54,2016-2017,core,P4,null,2016-2017-tds-a21:p4,600,307,178,2,48,30,0,15,0,14,0,0,30,0,0,0,1,218,2.4,0,181,85.6,96.4,94.4,100,100,48,48,0.36701030927835,0.0977198697068404,0.58957654723127
135,55,2016-2017,core,P4,null,2016-2017-tds-a22:p4,743,401,168,4,58,53,0,22,16,13,0,0,53,2,31,4.2,1,374,3.1,0,68,73.5,82.9,82.5,84,84,50,50,0.295254833040422,0.13216957605985,0.169576059850374
136,56,2016-2017,core,P4,null,2016-2017-tds-a24:p4,572,320,137,2,45,25,0,21,2,2,0,3,22,2,40,7,1,251,2.6,0,50,100,95.5,94.4,97.7,97.7,44,44,0.299781181619256,0.06875,0.15625
137,57,2016-2017,core,P4,null,2016-2017-tds-a26:p4,665,356,181,4,45,36,0,15,8,13,0,0,36,0,0,0,1,242,2.3,0,76,85.5,92.7,90.1,97.6,97.6,42,42,0.337057728119181,0.101123595505618,0.213483146067416
138,58,2016-2017,core,P4,null,2016-2017-tds-a3:p4,712,412,165,2,75,33,1,26,4,0,0,2,31,0,0,0,1,372,3,0,72,100,67.2,70.5,62,62,92,92,0.285961871750433,0.0752427184466019,0.174757281553398
139,59,2016-2017,core,P4,null,2016-2017-tds-a4:p4,644,330,188,2,55,39,0,20,5,13,0,1,38,0,0,0,1,247,2.5,0,30,100,91.9,88.6,98.2,98.2,56,56,0.362934362934363,0.115151515151515,0.0909090909090909
140,60,2016-2017,core,P4,null,2016-2017-tds-a5:p4,594,305,148,3,43,41,0,17,5,18,0,1,40,0,0,0,1,206,2.3,0,52,96.2,87.5,83.3,95,95,40,40,0.326710816777042,0.131147540983607,0.170491803278689
141,61,2016-2017,core,P4,null,2016-2017-tds-a6:p4,708,364,181,5,61,60,0,37,10,13,0,5,55,0,0,0,1,418,3.8,0,46,95.7,88.7,85,94.3,94.3,70,70,0.332110091743119,0.151098901098901,0.126373626373626
142,62,2016-2017,core,P4,null,2016-2017-tds-a8:p4,576,324,146,2,52,43,0,23,5,13,0,2,41,0,0,0,1,385,4,0,31,19.4,33.8,35.8,30.8,30.8,52,52,0.31063829787234,0.126543209876543,0.095679012345679
143,63,2017-2018,sonarQube,P4,null,2017-2018-tds-a1:p4,462,314,58,2,44,25,0,7,14,0,0,0,25,0,0,0,1,185,2,0,54,100,90.1,99,82.5,82.5,114,114,0.155913978494624,0.0796178343949045,0.171974522292994
144,64,2017-2018,sonarQube,P4,null,2017-2018-tds-a11:p4,373,337,4,2,51,30,0,14,16,0,0,0,30,0,0,0,1,232,2.3,0,40,100,93.6,95.7,90,90,70,70,0.0117302052785924,0.0890207715133531,0.118694362017804
145,65,2017-2018,sonarQube,P4,null,2017-2018-tds-a12:p4,583,384,102,2,74,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,206,100,92.1,95.1,88.2,88.2,110,110,0.209876543209877,0,0.536458333333333
146,66,2017-2018,sonarQube,P4,null,2017-2018-tds-a13:p4,397,275,71,2,40,35,0,7,18,0,0,0,35,0,0,0,1,206,2.5,0,72,100,100,100,100,100,48,48,0.205202312138728,0.127272727272727,0.261818181818182
147,67,2017-2018,sonarQube,P4,null,2017-2018-tds-a14:p4,544,370,83,2,64,16,0,1,1,0,0,0,16,0,0,0,1,217,2,0,266,100,92,93.3,90.2,90.2,92,92,0.183222958057395,0.0432432432432432,0.718918918918919
148,68,2017-2018,sonarQube,P4,null,2017-2018-tds-a15:p4,605,381,125,2,74,3,0,2,0,0,0,0,3,0,0,0,1,35,0.3,0,93,100,96.1,100,91.1,91.1,112,112,0.24703557312253,0.0078740157480315,0.244094488188976
149,69,2017-2018,sonarQube,P4,null,2017-2018-tds-a16:p4,456,331,75,2,52,1,0,0,1,0,0,0,1,0,0,0,1,2,0,0,86,100,99.4,100,98.5,98.5,66,66,0.184729064039409,0.00302114803625378,0.259818731117825
150,70,2017-2018,sonarQube,P4,null,2017-2018-tds-a17:p4,729,417,183,2,82,9,0,0,0,5,0,0,9,0,0,0,1,60,0.5,0,290,100,99.3,100,98.3,98.3,118,118,305,0.0215827338129496,0.695443645083933
151,71,2017-2018,sonarQube,P4,null,2017-2018-tds-a18:p4,439,311,46,5,44,4,0,3,0,0,0,0,4,0,0,0,1,18,0.2,0,47,100,95.1,92.9,100,100,38,38,0.128851540616246,0.0128617363344051,0.15112540192926
152,72,2017-2018,sonarQube,P4,null,2017-2018-tds-a19:p4,722,442,160,2,86,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,188,100,99.3,100,98.4,98.4,124,124,0.26578073089701,0,0.425339366515837
153,73,2017-2018,sonarQube,P4,null,2017-2018-tds-a2:p4,590,397,93,2,83,12,0,8,4,0,0,0,12,0,0,0,1,95,0.8,0,158,100,96,97.2,94.6,94.6,130,130,0.189795918367347,0.0302267002518892,0.397984886649874
154,74,2017-2018,sonarQube,P4,null,2017-2018-tds-a3:p4,798,463,166,2,116,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,312,100,100,100,100,100,174,174,0.263910969793323,0,0.673866090712743
155,75,2017-2018,sonarQube,P4,null,2017-2018-tds-a4:p4,464,333,60,8,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,85,100,99.3,100,97.4,97.4,38,38,0.152671755725191,0,0.255255255255255
156,76,2017-2018,sonarQube,P4,null,2017-2018-tds-a5:p4,508,313,55,2,46,2,0,2,0,0,0,0,2,0,0,0,1,4,0,0,45,100,100,100,100,100,30,30,0.14945652173913,0.00638977635782748,0.143769968051118
157,77,2017-2018,sonarQube,P4,null,2017-2018-tds-a6:p4,573,392,85,2,69,12,0,0,1,0,0,0,12,0,0,0,1,170,1.4,0,227,100,99.2,100,97.9,97.9,94,94,0.178197064989518,0.0306122448979592,0.579081632653061
158,78,2017-2018,sonarQube,P4,null,2017-2018-tds-a7:p4,849,480,108,4,67,66,5,11,23,0,0,11,55,0,0,0,1,374,2.6,0,167,100,88.9,93.7,79.5,79.5,88,88,0.183673469387755,0.114583333333333,0.347916666666667
159,79,2017-2018,sonarQube,P4,null,2017-2018-tds-a8:p4,745,436,159,2,70,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,633,100,87.6,100,80,80,320,320,0.267226890756303,0,1.45183486238532
160,80,2017-2018,sonarQube,P4,null,2017-2018-tds-a9:p4,721,391,197,2,90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,249,100,99,100,97.5,97.5,122,122,0.335034013605442,0,0.636828644501279
161,1,2018-2019,gamification,P4,ranking,2018-2019-tds-a1:p4,546,310,131,7,48,22,0,2,20,0,0,0,22,0,0,0,1,40,0.4,0,24,95.8,89.8,83.3,100,100,50,50,0.297052154195011,0.0709677419354839,0.0774193548387097
162,2,2018-2019,gamification,P4,ranking,2018-2019-tds-a10:p4,488,309,97,3,44,25,0,12,1,12,0,0,25,0,0,0,1,164,1.8,0,54,92.6,87,84.8,90.9,90.9,44,44,0.238916256157635,0.0809061488673139,0.174757281553398
163,3,2018-2019,gamification,P4,ranking,2018-2019-tds-a11:p4,549,325,132,2,49,8,0,3,0,4,0,1,7,0,0,0,1,25,0.3,0,86,100,91,90.6,91.7,91.7,60,60,0.288840262582057,0.0215384615384615,0.264615384615385
164,4,2018-2019,gamification,P4,ranking,2018-2019-tds-a12:p4,570,317,114,2,53,17,0,4,0,12,0,1,16,0,0,0,1,60,0.6,0,23,100,95.4,92.9,100,100,54,54,0.264501160092807,0.0504731861198738,0.0725552050473186
165,5,2018-2019,gamification,P4,ranking,2018-2019-tds-a13:p4,669,358,167,7,50,18,0,6,0,12,0,0,18,0,0,0,1,80,0.7,0,21,100,91.4,87.1,100,100,50,50,0.318095238095238,0.0502793296089385,0.058659217877095
166,6,2018-2019,gamification,P4,ranking,2018-2019-tds-a14:p4,624,327,169,2,48,29,0,20,3,5,0,1,28,0,0,0,1,243,2.5,0,99,100,96,95.2,97.8,97.8,46,46,0.340725806451613,0.0856269113149847,0.302752293577982
167,7,2018-2019,gamification,P4,ranking,2018-2019-tds-a15:p4,604,349,130,2,72,44,0,7,24,12,0,1,43,0,0,0,1,110,1.1,0,61,100,90.5,87.4,94.6,94.6,92,92,0.271398747390397,0.123209169054441,0.174785100286533
168,8,2018-2019,gamification,P4,ranking,2018-2019-tds-a16:p4,536,354,99,2,57,2,0,0,1,0,0,1,1,0,0,0,1,1,0,0,37,100,99.4,100,98.5,98.5,66,66,0.218543046357616,0.00282485875706215,0.104519774011299
169,9,2018-2019,gamification,P4,ranking,2018-2019-tds-a2:p4,890,576,187,3,119,12,0,8,0,0,0,2,10,0,0,0,1,137,0.8,0,87,100,100,100,100,100,174,174,0.245085190039318,0.0173611111111111,0.151041666666667
170,10,2018-2019,gamification,P4,ranking,2018-2019-tds-a3:p4,647,378,148,2,89,2,0,2,0,0,0,0,2,0,0,0,1,12,0.1,0,139,100,100,100,100,100,128,128,0.281368821292776,0.00529100529100529,0.367724867724868
171,11,2018-2019,gamification,P4,ranking,2018-2019-tds-a4:p4,614,394,118,2,78,2,0,0,1,0,0,1,1,0,0,0,1,1,0,0,68,100,98.6,98.8,98.2,98.2,110,110,0.23046875,0.00253807106598985,0.17258883248731
172,12,2018-2019,gamification,P4,ranking,2018-2019-tds-a5:p4,509,268,118,7,37,39,0,5,22,12,0,0,39,0,0,0,1,155,1.9,0,17,94.1,77.5,68,93.3,93.3,30,30,0.305699481865285,0.145522388059701,0.0634328358208955
173,13,2018-2019,gamification,P4,ranking,2018-2019-tds-a6:p4,485,319,79,2,42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,100,100,100,100,100,42,42,0.198492462311558,0,0.103448275862069
174,14,2018-2019,gamification,P4,ranking,2018-2019-tds-a7:p4,530,322,102,2,54,16,0,4,0,12,0,0,16,0,0,0,1,60,0.6,0,19,100,91.9,87.6,100,100,56,56,0.240566037735849,0.0496894409937888,0.0590062111801242
175,15,2018-2019,gamification,P4,ranking,2018-2019-tds-a8:p4,566,330,139,2,46,26,0,13,0,12,0,1,25,2,34,6,1,160,1.6,0,42,100,90.8,86.7,100,100,44,44,0.29637526652452,0.0757575757575758,0.127272727272727
176,16,2018-2019,gamification,P4,ranking,2018-2019-tds-a9:p4,644,329,170,2,57,22,0,7,2,12,0,1,21,0,0,0,1,108,1.1,0,168,100,94.8,92,100,100,60,60,0.340681362725451,0.0638297872340425,0.51063829787234
177,1,2019-2020,gamification,P4,live ranking,2019-2020-tds-albagua:p4,1177,620,320,4,137,41,0,6,11,24,0,0,41,0,0,0,1,85,0.5,0,87,100,93.6,91.3,97.7,97.7,172,172,0.340425531914894,0.0661290322580645,0.140322580645161
178,2,2019-2020,gamification,P4,live ranking,2019-2020-tds-danmele:p4,1078,719,205,4,149,23,0,10,10,1,0,2,19,2,26,2.4,1,95,0.4,0,96,100,92.3,91.6,93.5,93.5,216,216,0.221861471861472,0.0264255910987483,0.133518776077886
179,3,2019-2020,gamification,P4,live ranking,2019-2020-tds-gonzale:p4,456,293,98,1,83,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,70,100,100,100,100,100,126,126,0.250639386189258,0,0.238907849829352
180,4,2019-2020,gamification,P4,live ranking,2019-2020-tds-javgato:p4,1232,761,269,4,245,41,0,6,11,24,0,0,41,0,0,0,1,85,0.4,0,124,100,96.6,95,98.3,98.3,344,344,0.261165048543689,0.0538764783180026,0.162943495400788
181,5,2019-2020,gamification,P4,live ranking,2019-2020-tds-jorbarr:p4,424,280,75,1,57,1,0,0,0,0,0,0,1,0,0,0,1,7,0.1,0,34,100,94.6,99,89.8,89.8,88,88,0.211267605633803,0.00357142857142857,0.121428571428571
182,6,2019-2020,gamification,P4,live ranking,2019-2020-tds-jormarc:p4,443,281,76,1,63,24,0,0,20,3,0,0,24,0,0,0,1,83,1,0,51,92.2,96.4,95.8,96.9,96.9,98,98,0.212885154061625,0.0854092526690391,0.181494661921708
183,7,2019-2020,gamification,P4,live ranking,2019-2020-tds-juagarc:p4,408,290,62,1,63,11,0,3,7,0,0,0,11,0,0,0,1,68,0.8,0,46,50,34.3,39.1,28.6,28.6,98,98,0.176136363636364,0.0379310344827586,0.158620689655172
184,8,2019-2020,gamification,P4,live ranking,2019-2020-tds-juagild:p4,1318,667,357,7,135,27,0,0,0,24,0,0,25,0,0,0,1,8,0,0,101,100,92.7,90.8,95.5,95.5,178,178,0.3486328125,0.0374812593703148,0.151424287856072
185,9,2019-2020,gamification,P4,live ranking,2019-2020-tds-juangar:p4,639,416,123,1,92,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,57,100,100,100,100,100,148,148,0.228200371057514,0,0.137019230769231
186,10,2019-2020,gamification,P4,live ranking,2019-2020-tds-migbayo:p4,965,341,414,4,123,64,0,7,25,27,0,0,64,0,0,0,1,158,1.5,0,96,21.9,72.8,76.3,68.8,68.8,154,154,0.548344370860927,0.187683284457478,0.281524926686217
187,11,2019-2020,gamification,P4,live ranking,2019-2020-tds-miggarr:p4,841,446,220,4,96,42,0,7,11,24,0,0,42,0,0,0,1,90,0.7,0,34,100,87.3,81.6,96.2,96.2,104,104,0.33033033033033,0.0941704035874439,0.0762331838565022
188,12,2019-2020,gamification,P4,live ranking,2019-2020-tds-pamarti:p4,471,318,83,1,57,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35,100,100,100,100,100,84,84,0.206982543640898,0,0.110062893081761
189,13,2019-2020,gamification,P4,live ranking,2019-2020-tds-dardela:p4,651,431,127,1,79,2,0,0,0,0,0,0,2,0,0,0,1,13,0.1,0,30,100,78.1,78.5,77.5,77.5,120,120,0.227598566308244,0.00464037122969838,0.0696055684454756
190,14,2019-2020,gamification,P4,live ranking,2019-2020-tds-davcuri:p4,767,583,98,1,147,14,0,0,7,0,0,0,14,0,0,0,1,160,0.9,0,79,100,96.9,98.3,95.2,95.2,252,252,0.143906020558003,0.0240137221269297,0.135506003430532
191,15,2019-2020,gamification,P4,live ranking,2019-2020-tds-guijane:p4,589,391,102,1,93,1,0,0,0,0,0,0,1,0,0,0,1,14,0.1,0,84,16.7,53.1,55.3,50.7,50.7,152,152,0.206896551724138,0.00255754475703325,0.214833759590793
192,16,2019-2020,gamification,P4,live ranking,2019-2020-tds-helfern:p4,627,425,123,1,112,39,0,15,21,0,0,0,39,0,0,0,1,200,1.6,0,159,48.4,79.7,75,84.6,84.6,182,182,0.224452554744526,0.0917647058823529,0.374117647058824
193,17,2019-2020,gamification,P4,live ranking,2019-2020-tds-juagarr:p4,937,591,234,1,139,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80,100,99.6,99.4,100,100,230,230,0.283636363636364,0,0.135363790186125
194,18,2019-2020,gamification,P4,live ranking,2019-2020-tds-juaherr:p4,974,697,118,2,151,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,100,100,100,100,100,230,230,0.14478527607362,0,0.143472022955524
195,19,2019-2020,gamification,P4,live ranking,2019-2020-tds-manalda:p4,734,457,87,1,91,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,90,72.2,98.2,99,97.1,97.1,136,136,0.159926470588235,0,0.196936542669584
196,20,2019-2020,gamification,P4,live ranking,2019-2020-tds-marrobl:p4,530,317,121,1,83,2,0,1,0,0,0,0,2,0,0,0,1,42,0.4,0,58,100,98.4,100,97.1,97.1,136,136,0.276255707762557,0.00630914826498423,0.182965299684543
197,21,2019-2020,gamification,P4,live ranking,2019-2020-tds-marroma:p4,743,493,122,1,105,2,0,0,0,0,0,0,2,0,0,0,1,16,0.1,0,156,54.5,87,87.2,86.8,86.8,174,174,0.198373983739837,0.00405679513184584,0.316430020283976
198,22,2019-2020,gamification,P4,live ranking,2019-2020-tds-migdela:p4,598,377,118,1,94,4,0,1,1,0,0,0,4,0,0,0,1,93,0.8,0,54,100,99.1,100,98.1,98.1,162,162,0.238383838383838,0.0106100795755968,0.143236074270557
199,23,2019-2020,gamification,P4,live ranking,2019-2020-tds-miggome:p4,855,495,183,1,96,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80,100,99.2,99.5,98.6,98.6,148,148,0.269911504424779,0,0.161616161616162
200,24,2019-2020,gamification,P4,live ranking,2019-2020-tds-pabmani:p4,696,454,112,2,109,6,0,1,0,0,0,0,6,0,0,0,1,83,0.6,0,108,50,99.2,100,98.2,98.2,164,164,0.197879858657244,0.013215859030837,0.237885462555066
201,25,2019-2020,gamification,P4,live ranking,2019-2020-tds-raufern:p4,927,535,242,4,115,48,0,5,16,24,3,0,43,0,0,0,1,100,0.6,0,62,100,91,86.4,98.6,98.6,148,148,0.311454311454311,0.0803738317757009,0.11588785046729
202,26,2019-2020,gamification,P4,live ranking,2019-2020-tds-rebhern:p4,592,365,119,1,70,12,1,1,6,2,0,0,12,0,0,0,1,59,0.5,0,137,60.6,97.6,97.8,97.4,97.4,114,114,0.245867768595041,0.0328767123287671,0.375342465753425
203,27,2019-2020,gamification,P4,live ranking,2019-2020-tds-ricalba:p4,792,499,126,1,152,24,0,7,11,0,0,0,24,6,114,14.4,1,250,1.7,0,155,54.8,95.2,98.9,91.3,91.3,264,264,0.2016,0.0480961923847695,0.31062124248497
204,28,2019-2020,gamification,P4,live ranking,2019-2020-tds-ricmart:p4,729,409,138,1,109,2,0,0,0,0,0,0,2,0,0,0,1,22,0.2,0,67,100,99.8,100,99.4,99.4,176,176,0.252285191956124,0.00488997555012225,0.163814180929095
205,29,2019-2020,gamification,P4,live ranking,2019-2020-tds-silmont:p4,551,307,110,2,86,7,0,0,1,5,0,0,7,0,0,0,1,12,0.1,0,49,100,95.4,94.4,96.2,96.2,132,132,0.26378896882494,0.0228013029315961,0.159609120521173
206,30,2019-2020,gamification,P4,live ranking,2019-2020-tds-raujime:p4,536,285,147,2,66,17,0,1,6,10,0,0,17,0,0,0,1,57,0.7,0,52,88.5,94.2,88.5,100,100,84,84,0.340277777777778,0.0596491228070175,0.182456140350877
207,31,2019-2020,gamification,P4,live ranking,2019-2020-tds-migusan:p4,649,393,155,1,77,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,46,100,78.4,80.4,75.8,75.8,120,120,0.282846715328467,0,0.11704834605598
